test_id,selection_stratum,kie_split,split_version,split_seed
R001,standard_mixed_layout,held_out,kie-evaluation-split-v0.1,vietreceipt-kie-split-v0.1
R002,standard_mixed_layout,held_out,kie-evaluation-split-v0.1,vietreceipt-kie-split-v0.1
R003,standard_mixed_layout,held_out,kie-evaluation-split-v0.1,vietreceipt-kie-split-v0.1
R004,standard_mixed_layout,held_out,kie-evaluation-split-v0.1,vietreceipt-kie-split-v0.1
R005,standard_mixed_layout,development,kie-evaluation-split-v0.1,vietreceipt-kie-split-v0.1
R006,standard_mixed_layout,held_out,kie-evaluation-split-v0.1,vietreceipt-kie-split-v0.1
R007,standard_mixed_layout,development,kie-evaluation-split-v0.1,vietreceipt-kie-split-v0.1
R008,standard_mixed_layout,development,kie-evaluation-split-v0.1,vietreceipt-kie-split-v0.1
R009,standard_mixed_layout,held_out,kie-evaluation-split-v0.1,vietreceipt-kie-split-v0.1
R010,standard_mixed_layout,development,kie-evaluation-split-v0.1,vietreceipt-kie-split-v0.1
R011,standard_mixed_layout,development,kie-evaluation-split-v0.1,vietreceipt-kie-split-v0.1
R012,standard_mixed_layout,development,kie-evaluation-split-v0.1,vietreceipt-kie-split-v0.1
R013,standard_mixed_layout,development,kie-evaluation-split-v0.1,vietreceipt-kie-split-v0.1
R014,standard_mixed_layout,held_out,kie-evaluation-split-v0.1,vietreceipt-kie-split-v0.1
R015,standard_mixed_layout,held_out,kie-evaluation-split-v0.1,vietreceipt-kie-split-v0.1
R016,standard_mixed_layout,held_out,kie-evaluation-split-v0.1,vietreceipt-kie-split-v0.1
R017,standard_mixed_layout,development,kie-evaluation-split-v0.1,vietreceipt-kie-split-v0.1
R018,standard_mixed_layout,development,kie-evaluation-split-v0.1,vietreceipt-kie-split-v0.1
R019,standard_mixed_layout,held_out,kie-evaluation-split-v0.1,vietreceipt-kie-split-v0.1
R020,standard_mixed_layout,development,kie-evaluation-split-v0.1,vietreceipt-kie-split-v0.1
R021,challenge_low_contrast,held_out,kie-evaluation-split-v0.1,vietreceipt-kie-split-v0.1
R022,challenge_low_contrast,held_out,kie-evaluation-split-v0.1,vietreceipt-kie-split-v0.1
R023,challenge_low_contrast,development,kie-evaluation-split-v0.1,vietreceipt-kie-split-v0.1
R024,challenge_low_contrast,development,kie-evaluation-split-v0.1,vietreceipt-kie-split-v0.1
R025,challenge_low_contrast,held_out,kie-evaluation-split-v0.1,vietreceipt-kie-split-v0.1
R026,challenge_low_sharpness_or_distance,development,kie-evaluation-split-v0.1,vietreceipt-kie-split-v0.1
R027,challenge_low_sharpness_or_distance,held_out,kie-evaluation-split-v0.1,vietreceipt-kie-split-v0.1
R028,challenge_low_sharpness_or_distance,held_out,kie-evaluation-split-v0.1,vietreceipt-kie-split-v0.1
R029,challenge_low_sharpness_or_distance,development,kie-evaluation-split-v0.1,vietreceipt-kie-split-v0.1
R030,challenge_low_sharpness_or_distance,development,kie-evaluation-split-v0.1,vietreceipt-kie-split-v0.1
R031,challenge_lighting_or_perspective,development,kie-evaluation-split-v0.1,vietreceipt-kie-split-v0.1
R032,challenge_lighting_or_perspective,held_out,kie-evaluation-split-v0.1,vietreceipt-kie-split-v0.1
R033,challenge_lighting_or_perspective,held_out,kie-evaluation-split-v0.1,vietreceipt-kie-split-v0.1
R034,challenge_lighting_or_perspective,held_out,kie-evaluation-split-v0.1,vietreceipt-kie-split-v0.1
R035,challenge_lighting_or_perspective,development,kie-evaluation-split-v0.1,vietreceipt-kie-split-v0.1
R036,challenge_long_receipt,held_out,kie-evaluation-split-v0.1,vietreceipt-kie-split-v0.1
R037,challenge_long_receipt,held_out,kie-evaluation-split-v0.1,vietreceipt-kie-split-v0.1
R038,challenge_long_receipt,development,kie-evaluation-split-v0.1,vietreceipt-kie-split-v0.1
R039,challenge_long_receipt,development,kie-evaluation-split-v0.1,vietreceipt-kie-split-v0.1
R040,challenge_long_receipt,development,kie-evaluation-split-v0.1,vietreceipt-kie-split-v0.1
