candidate_id,heuristic_group,source_file,sha256,width,height,aspect_ratio,brightness,contrast,sharpness,illumination_range,manual_keep,manual_quality,manual_merchant_type,manual_notes
LC01,low_contrast,data/raw/data0.7/mcocr_public_145014pyhgf.jpg,48665f1e628def36e3748759102f924f21190aa998486520fc91cb74fc1943c2,1021,1366,1.337904,197.750812,13.690551,257.427410,17.927283,,,,
LC02,low_contrast,data/raw/data0.7/mcocr_public_145014iwkki.jpg,2100c749de0c0bc72b1a3464a7e7d1ad7cc23439f6c1cd794490926347b2d5d5,996,1151,1.155622,114.937970,15.248027,46.547337,14.339168,,,,
LC03,low_contrast,data/raw/data0.7/mcocr_public_145014aixgf.jpg,0a86eb189d73683c08224f88f5c4baf39aa08dc0cbdfb526650db7d47879a20b,566,514,0.908127,161.541750,17.056286,103.347308,19.276024,,,,
LC04,low_contrast,data/raw/data0.7/mcocr_public_145014euhfv.jpg,0a8d591bf054ed2db45ca0fe9cb453e3eafc2eceb922316f79dd7b7eaece05e4,822,1352,1.644769,146.142773,17.666030,72.914527,18.291809,,,,
LC05,low_contrast,data/raw/data0.7/mcocr_public_145013imbop.jpg,483f0937df650a7084b9a7627053ef2fc152550d91e5611afcafde9e81e36701,280,933,3.332143,133.402169,18.347887,339.997721,33.864677,,,,
LC06,low_contrast,data/raw/data0.7/mcocr_public_145014esieu.jpg,96df5be5dec693043fd29baad471caf4c2c9d4f40ef1dc6b1065065d739f292c,1021,1366,1.337904,200.474474,18.655288,446.160316,39.399418,,,,
LC07,low_contrast,data/raw/data0.7/mcocr_public_145013tgayt.jpg,dfcbe59fde0a0dcb6c71634ba5fc47b768f7d7c4971f65897722151d139005a9,339,638,1.882006,164.024500,19.788793,440.363208,29.568917,,,,
LC08,low_contrast,data/raw/data0.7/mcocr_public_145013fwuow.jpg,65586f23c3b8aa5f90ba2512d8e31c29a91c7c1d1d34b37b0ce43f81846e26ae,479,421,0.878914,186.188675,20.714355,513.465963,29.980873,,,,
LC09,low_contrast,data/raw/data0.7/mcocr_public_145014zckhw.jpg,3da41c08962ce8bf7d6636a6b37813cc697064719b1479ac440feb2ca8706e7c,516,947,1.835271,153.620204,20.786457,227.815298,23.964954,,,,
LC10,low_contrast,data/raw/data0.7/mcocr_public_145014epafb.jpg,2d4fe2961c1c2cc945563eaacd8796a8fc0ea21aea06a29bc83be67fb7e0969a,768,1024,1.333333,136.191742,21.116852,295.376501,50.055284,,,,
LC11,low_contrast,data/raw/data0.7/mcocr_public_145013tafca.jpg,76ecffacebae847ad43c9abef55a87c7710c40b5c0e26697187d30e4241f19bf,458,762,1.663755,164.321370,21.467725,518.540737,15.104574,,,,
